endTime,artistName,trackName,msPlayed
2022-06-27 19:16,Imagine Dragons,Next To Me,487
2022-06-27 19:16,Florence + The Machine,St Jude,905
2022-06-27 19:16,Okean Elzy,Коли ми станем собою - Mono Version,171270
2022-06-27 19:16,Green Day,Wake Me up When September Ends,1439
2022-06-27 19:16,KALEO,Backbone,882
2022-06-27 19:16,KALEO,Free the Slave,859
2022-06-27 19:18,Imagine Dragons,Believer,1671
2022-06-27 19:18,A Great Big World,Fall On Me,928
2022-06-27 19:18,The Cinematic Orchestra,To Build A Home,975
2022-06-27 19:18,Toploader,Dancing in the Moonlight,1578
2022-06-27 19:18,The Weeknd,The Hills,1207
2022-06-27 19:18,Coldplay,Fix You,1973
2022-06-27 19:18,The Handsome Family,Far from Any Road,743
2022-06-27 19:18,Black Rebel Motorcycle Club,Beat the Devil's Tattoo,1369
2022-06-27 19:18,Everybody Loves an Outlaw,I See Red,92856
2022-06-27 19:21,Imagine Dragons,Believer,4563
2022-06-27 19:21,The Handsome Family,Far from Any Road,168226
2022-06-27 19:22,Rufus Wainwright,Hallelujah,64226
2022-06-28 05:18,Aidoneus,Persephone in the Garden,25710
2022-06-28 05:18,Alexandra Savior,Crying All the Time,3578
2022-06-28 05:23,Måneskin,CORALINE,253076
2022-06-28 05:26,Ricky Montgomery,My Heart Is Buried in Venice,183405
2022-06-28 05:28,mxmtoon,creep,154845
2022-06-28 05:31,Stromae,L’enfer,189720
2022-06-28 05:33,grandson,Dirty,125892
2022-06-28 05:35,Måneskin,CORALINE,7150
2022-06-28 05:35,Seafret,Atlantis,104582
2022-06-28 05:39,Poor Man's Poison,Hell's Comin' with Me,199294
2022-06-28 05:44,KALEO,Backbone - Live at Breiðarmerkurjökull,307571
2022-06-28 05:45,Unions,Rescue Me,43305
2022-06-28 09:06,mxmtoon,creep,348108
2022-06-28 09:11,KALEO,Skinny,174200
2022-06-28 09:15,mxmtoon,creep,210600
2022-06-28 09:19,Lana Del Rey,Million Dollar Man,166962
2022-06-28 09:23,mxmtoon,creep,210600
2022-06-28 09:27,Lana Del Rey,Million Dollar Man,231573
2022-06-28 09:27,Lana Del Rey,Million Dollar Man,0
2022-06-28 09:27,Naughty Boy,Runnin' (Lose It All),11512
2022-06-28 09:39,mxmtoon,creep,398397
2022-06-28 09:47,Lana Del Rey,Million Dollar Man,115889
2022-06-28 09:50,mxmtoon,creep,210600
2022-06-28 10:03,Lana Del Rey,Million Dollar Man,144938
2022-06-28 10:39,mxmtoon,creep,125500
2022-06-28 11:34,mxmtoon,creep,187707
2022-06-28 11:37,Nothing But Thieves,Crazy,167489
2022-06-28 11:38,SirLofi,Queen of Disaster,49852
2022-06-28 11:38,mxmtoon,creep,2776
2022-06-28 11:39,Pomme,anxiété,7432
2022-06-28 11:39,Stromae,L’enfer,25060
2022-06-28 11:44,Meryem Aboulouafa,Breath of Roma,1194
2022-06-28 11:44,Patrick Watson,Je te laisserai des mots,859
2022-06-28 11:44,Videoclub,Amour plastique,309944
2022-06-28 11:46,Patrick Watson,Je te laisserai des mots,125776
2022-06-28 11:46,Videoclub,Amour plastique,2224
2022-06-28 11:49,Oscar Anton,nuits d'été,176512
2022-06-28 12:16,Videoclub,Amour plastique,242786
2022-06-28 14:10,Videoclub,Amour plastique,107627
2022-06-28 14:13,Oscar Anton,nuits d'été,140533
2022-06-28 14:15,Pomme,À peu près,2728
2022-06-28 14:15,Françoise Hardy,Tous les garçons et les filles - Slow,125020
2022-06-28 14:19,Françoise Hardy,Tous les garçons et les filles - Slow,246149
2022-06-28 14:19,Videoclub,Amour plastique,29884
2022-06-28 14:20,Pomme,la lumière,12126
2022-06-28 14:23,Jess Benko,A Soulmate Who Wasn’t Meant to Be,1029
2022-06-28 14:23,The Mamas & The Papas,California Dreamin' - Single Version,1301
2022-06-28 14:23,Nickelback,Gotta Be Somebody,23
2022-06-28 14:23,Françoise Hardy,Tous les garçons et les filles - Slow,187746
2022-06-28 14:23,Chica Sobresalto,Fusión del Núcleo,5419
2022-06-28 14:32,Petit Biscuit,Sunset Lover,2554
2022-06-28 14:35,Françoise Hardy,Tous les garçons et les filles - Slow,187746
2022-06-28 14:36,Seafret,Atlantis,3979
2022-06-28 14:36,The Score,The Fear,15084
2022-06-28 14:36,Videoclub,Amour plastique,3171
2022-06-28 14:37,Videoclub,Amour plastique,95681
2022-06-28 14:40,Stromae,Papaoutai,10760
2022-06-28 14:40,Françoise Hardy,Tous les garçons et les filles - Slow,133098
2022-06-28 14:53,Videoclub,Amour plastique,167435
2022-06-28 17:44,mxmtoon,creep,100983
2022-06-28 17:46,Videoclub,Amour plastique,82686
2022-06-28 17:54,mxmtoon,creep,314462
2022-06-28 18:02,Carlos Rafael Rivera,The Final Game,443631
2022-06-28 18:02,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,4169
2022-06-28 18:04,Oscar Anton,nuits d'été,1462
2022-06-28 18:04,Françoise Hardy,Tous les garçons et les filles - Slow,107903
2022-06-28 18:14,Videoclub,Amour plastique,72840
2022-06-28 18:30,mxmtoon,creep,9636
2022-06-28 18:34,Taburete,2018: Odisea en el Espacio,26722
2022-06-28 18:34,Videoclub,Amour plastique,232051
2022-06-28 18:35,Videoclub,Amour plastique,30000
2022-06-28 18:42,Videoclub,Amour plastique,241475
2022-06-28 18:43,mxmtoon,creep,101006
2022-06-28 18:50,Videoclub,Amour plastique,25240
2022-06-28 18:51,Oscar Anton,nuits d'été,59437
2022-06-28 18:51,Françoise Hardy,Tous les garçons et les filles - Slow,20828
2022-06-28 18:53,Pomme,grandiose,88793
2022-06-28 18:54,Mother Mother,Forgotten Souls,6977
2022-06-28 18:55,The Backseat Lovers,Kilby Girl,44512
2022-06-28 18:56,Vancouver Sleep Clinic,Middle Of Nowhere,4226
2022-06-28 18:56,The Temptations,My Girl,6037
2022-06-28 18:56,Geoffroy,Strangers On A Train,53800
2022-06-28 18:58,Briston Maroney,Freakin' Out On the Interstate,87446
2022-06-28 18:58,Matt Maeson,Hallucinogenics (feat. Lana Del Rey),34876
2022-06-28 19:02,Lana Del Rey,Wild At Heart,240698
2022-06-28 19:28,Lana Del Rey,Lust For Life (with The Weeknd),81153
2022-06-28 21:06,Pomme,anxiété,4600
2022-06-28 21:06,Françoise Hardy,Tous les garçons et les filles - Slow,7863
2022-06-28 21:06,Videoclub,Amour plastique,180262
2022-06-28 21:07,Pomme,les séquoias,5513
2022-06-28 21:07,Patrick Watson,Je te laisserai des mots,6077
2022-06-28 21:07,Pomplamoose,Sous le Ciel de Paris,2208
2022-06-28 21:07,Pomme,Ceux qui rêvent,49973
2022-06-28 21:07,Pomme,magie bleue,2523
2022-06-28 21:08,Pomme,la lumière,3117
2022-06-28 21:08,Nolwenn Leroy,J'en ai rêvé,6680
2022-06-28 21:08,Therapie TAXI,Aline,1597
2022-06-28 21:08,Annapantsu,La Vie en Rose (French Version.),20089
